Grand Prix,Participant,1er,2e,3e,Participants
Australie,Amandine,Max Verstappen,Lando Norris,George Russell,
Australie,Sacha,Lando Norris,Max Verstappen,Oscar Piastri,
Australie,Padre,Max Verstappen,Lando Norris,Lewis Hamilton,
Chine,Amandine,Max Verstappen,Lando Norris,Lewis Hamilton,
Chine,Sacha,Lando Norris,Max Verstappen,Lewis Hamilton,
Chine,Padre,Oscar Piastri,Max Verstappen,Lewis Hamilton,
Japon,Padre,Oscar Piastri,Max Verstappen,Lando Norris,
Japon,Sacha,Lando Norris,Max Verstappen,Charles Leclerc,
Japon,Amandine,Max Verstappen,Lando Norris,George Russell,
Bahrein,Padre,George Russell,Charles Leclerc,Oscar Piastri,
Bahrein,Sacha,Oscar Piastri,Charles Leclerc,George Russell,
Bahrein,Amandine,George Russell,Max Verstappen,Oscar Piastri,
Arabie Saoudite,Padre,Max Verstappen,Oscar Piastri,George Russell,
Arabie Saoudite,Sacha,Max Verstappen,George Russell,Lando Norris,
Arabie Saoudite,Amandine,Max Verstappen,George Russell,Oscar Piastri,
Miami,Padre,Oscar Piastri,Max Verstappen,George Russell,
Miami,Amandine,Max Verstappen,Oscar Piastri,George Russell,
Miami,Sacha,Lando Norris,Max Verstappen,Oscar Piastri,
Emilie-Romagne,Padre,Max Verstappen,Oscar Piastri,Lando Norris,
Emilie-Romagne,Amandine,Max Verstappen,Oscar Piastri,Lando Norris,
Emilie-Romagne,Sacha,Max Verstappen,Lando Norris,George Russell,
Monaco,Padre,Charles Leclerc,Max Verstappen,Oscar Piastri,
Monaco,Sacha,Charles Leclerc,Lando Norris,Oscar Piastri,
Monaco,Amandine,Charles Leclerc,Lando Norris,Max Verstappen,
Barcelone,Amandine,Oscar Piastri,Max Verstappen,Lando Norris,
Barcelone,Padre,Lando Norris,George Russel,Oscar Piastri,
Barcelone,Sacha,Oscar Piastri,Max Verstappen,Lando Norris,
